                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.442,                 4.4834,                 1.4874,                0.00451,                0.81364,                0.09256,                0.07195,                0.95944,                 4.4466,                0.85959,             0.00025553,             0.00025553,             0.00025553
                      2,                 1.3672,                 3.4786,                 1.3658,                0.89341,                0.19697,                0.26796,                0.19878,                0.97974,                 4.0113,                0.91548,             0.00052165,             0.00052165,             0.00052165
                      3,                 1.3618,                  2.927,                 1.3392,                0.74776,                 0.2303,                0.18216,                 0.1031,                 1.3754,                 3.6596,                 1.2037,             0.00078725,             0.00078725,             0.00078725
                      4,                 1.3811,                 2.7437,                 1.3872,                0.75421,                    0.1,                0.13707,                0.08884,                 1.2723,                 3.9436,                 1.0788,              0.0010523,              0.0010523,              0.0010523
                      5,                 1.4443,                 2.6865,                 1.4252,                0.89208,                0.09091,                0.13134,                0.08137,                 1.1177,                 6.3505,                 1.0861,              0.0011066,              0.0011066,              0.0011066
                      6,                 1.4105,                 2.5698,                 1.4079,                 0.9236,                0.19394,                0.35841,                0.21371,                 1.1549,                 3.9691,                 1.0532,              0.0011066,              0.0011066,              0.0011066
                      7,                 1.3774,                 2.3795,                 1.3742,                 0.3559,                0.48987,                0.23613,                0.13748,                 1.6606,                 3.8096,                  1.539,              0.0011055,              0.0011055,              0.0011055
                      8,                 1.3536,                 2.3219,                  1.376,                0.96505,                0.18788,                0.46868,                0.26519,                   1.73,                 3.1634,                 1.7379,              0.0011044,              0.0011044,              0.0011044
                      9,                 1.3539,                 2.1112,                 1.3922,                0.78514,                0.32582,                0.26785,                 0.1734,                 1.1678,                 2.6444,                 1.0939,              0.0011033,              0.0011033,              0.0011033
                     10,                 1.2369,                 2.0048,                 1.3091,                0.77457,                0.45152,                0.42771,                0.24272,                  1.317,                  2.813,                 1.2065,              0.0011022,              0.0011022,              0.0011022
                     11,                 1.3148,                 1.9609,                 1.3556,                0.83401,                0.46061,                0.52786,                0.41616,                 1.0999,                 2.6666,                 1.0196,              0.0011011,              0.0011011,              0.0011011
                     12,                 1.2865,                 1.8486,                 1.3521,                 0.9222,                0.26572,                 0.3931,                0.27442,                 1.0195,                 2.5357,                0.99446,                 0.0011,                 0.0011,                 0.0011
                     13,                 1.2585,                 1.8232,                 1.3112,                0.64635,                 0.4697,                0.35122,                0.26205,                 1.0679,                 2.6046,                 1.0338,              0.0010989,              0.0010989,              0.0010989
                     14,                 1.2409,                 1.7108,                 1.3234,                0.85412,                0.34067,                0.37315,                 0.2404,                 1.1051,                 2.8765,                 1.0489,              0.0010978,              0.0010978,              0.0010978
