                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6246,                 10.447,                 2.7603,                      0,                      0,                      0,                      0,                 3.6505,                 12.436,                  3.095,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.9512,                 10.532,                 2.8668,                      0,                      0,                      0,                      0,                 3.6496,                 11.186,                 2.9995,             8.9109e-05,             8.9109e-05,             8.9109e-05
                      3,                 3.7985,                 9.1746,                 2.8034,                      0,                      0,                      0,                      0,                  3.561,                 11.875,                 2.8255,             0.00013723,             0.00013723,             0.00013723
                      4,                 3.3099,                 7.5837,                 2.4451,                      0,                      0,                      0,                      0,                 3.8251,                 11.138,                 2.8126,             0.00018436,             0.00018436,             0.00018436
                      5,                 3.3758,                 8.0028,                 2.3295,                      0,                      0,                      0,                      0,                  3.641,                 13.336,                 2.4996,              0.0002305,              0.0002305,              0.0002305
                      6,                 3.3932,                 7.1784,                  2.393,                      0,                      0,                      0,                      0,                 3.7431,                 13.216,                 2.5854,             0.00027565,             0.00027565,             0.00027565
                      7,                 3.3757,                 8.1984,                 2.4358,                      0,                      0,                      0,                      0,                 4.0965,                 13.396,                 3.3387,              0.0003198,              0.0003198,              0.0003198
                      8,                 3.1671,                 6.8363,                 2.3865,                0.00022,                 0.0102,                0.00012,                  1e-05,                 4.1559,                 12.617,                 3.6279,             0.00036297,             0.00036297,             0.00036297
                      9,                 3.0155,                  7.138,                  2.246,                 0.0009,                0.04082,                0.00074,                0.00017,                 3.8499,                 19.011,                 3.2057,             0.00040515,             0.00040515,             0.00040515
                     10,                 3.0717,                 6.1428,                 2.1825,                0.00121,                0.05102,                0.00085,                 0.0002,                 3.7156,                 12.958,                 2.8029,             0.00044634,             0.00044634,             0.00044634
                     11,                 3.2485,                 6.4647,                 2.2993,                0.00073,                0.03061,                0.00041,                0.00012,                  3.698,                 13.226,                  2.539,             0.00048654,             0.00048654,             0.00048654
                     12,                 3.4152,                  7.258,                 2.3564,                0.00024,                 0.0102,                0.00014,                  3e-05,                 3.6738,                 11.986,                 2.4945,             0.00052575,             0.00052575,             0.00052575
                     13,                 3.2228,                 6.0032,                 2.1857,                0.00024,                 0.0102,                0.00014,                  3e-05,                 3.5639,                 10.537,                  2.623,             0.00056397,             0.00056397,             0.00056397
                     14,                 3.3887,                 6.7519,                 2.3712,                0.00024,                 0.0102,                0.00014,                  3e-05,                 3.5217,                 10.349,                 2.4268,              0.0006012,              0.0006012,              0.0006012
                     15,                 3.3694,                 6.7732,                 2.3333,                0.00024,                 0.0102,                0.00014,                  3e-05,                 3.5387,                 10.813,                 2.3914,             0.00063744,             0.00063744,             0.00063744
                     16,                 3.0153,                 5.5076,                 2.1391,                0.00051,                0.03061,                0.00033,                  7e-05,                 3.6228,                 10.183,                 2.3581,             0.00067269,             0.00067269,             0.00067269
                     17,                  3.012,                 5.4107,                 2.1944,                0.00188,                0.11224,                0.00384,                0.00129,                 3.7116,                 9.5075,                 2.4775,             0.00070694,             0.00070694,             0.00070694
                     18,                 3.0991,                 6.1057,                 2.2658,                0.00154,                0.11224,                0.00461,                0.00142,                 3.3335,                 8.2275,                 2.3593,             0.00074021,             0.00074021,             0.00074021
                     19,                 3.0132,                 5.6673,                 2.2519,                0.00137,                0.13265,                0.00414,                0.00141,                 3.3306,                 7.7847,                 2.4686,             0.00077249,             0.00077249,             0.00077249
                     20,                 3.4984,                 7.3914,                 2.3437,                0.00138,                0.14286,                0.00484,                0.00212,                 3.3794,                  7.738,                 2.4623,             0.00080378,             0.00080378,             0.00080378
                     21,                 3.1125,                 5.5981,                 2.2318,                0.00116,                0.14286,                0.00667,                0.00205,                 3.5055,                 7.9686,                 2.5352,               0.000802,               0.000802,               0.000802
                     22,                 2.8144,                 5.1801,                 2.1447,                0.00128,                0.16327,                0.01205,                 0.0048,                 3.2046,                 7.2176,                 2.4112,               0.000802,               0.000802,               0.000802
                     23,                 2.8619,                 5.2003,                 2.1148,                0.50445,                0.06122,                0.00846,                0.00406,                 3.2051,                 7.7756,                 2.3721,              0.0007921,              0.0007921,              0.0007921
                     24,                 2.8877,                 5.5936,                 2.1082,                0.00148,                0.11224,                0.00194,                0.00061,                 3.2203,                  7.545,                  2.438,              0.0007822,              0.0007822,              0.0007822
                     25,                 2.8151,                  5.238,                 2.0618,                0.00235,                0.20408,                0.00899,                  0.003,                  3.164,                  7.063,                  2.349,              0.0007723,              0.0007723,              0.0007723
                     26,                 2.9581,                 5.3139,                 2.2093,                0.62474,                0.04082,                0.01886,                0.00566,                 3.2984,                 7.3445,                 2.4266,              0.0007624,              0.0007624,              0.0007624
                     27,                 3.0631,                 5.6184,                  2.271,                0.76583,                0.03061,                0.03162,                0.01148,                 3.2476,                 6.9447,                 2.3966,              0.0007525,              0.0007525,              0.0007525
                     28,                 2.8387,                 4.9902,                 2.1799,                0.77231,                0.02041,                0.03033,                0.00502,                 3.1979,                 7.4729,                 2.3222,              0.0007426,              0.0007426,              0.0007426
                     29,                 2.7953,                 5.4108,                 2.1193,                0.50458,                0.06122,                0.00194,                0.00046,                 3.3295,                 8.4707,                 2.2872,              0.0007327,              0.0007327,              0.0007327
                     30,                 2.7851,                 5.4085,                 2.0179,                0.00091,                0.19388,                 0.0026,                0.00074,                 3.2841,                 8.1629,                 2.2819,              0.0007228,              0.0007228,              0.0007228
                     31,                 2.7725,                 5.1069,                 2.1303,                0.55526,                0.02041,                 0.0135,                0.00234,                 3.2295,                 8.8054,                 2.2736,              0.0007129,              0.0007129,              0.0007129
                     32,                 2.6601,                 5.0791,                 1.9899,                 0.6251,                0.02041,                0.02945,                0.00747,                 3.0565,                 8.1825,                 2.2921,               0.000703,               0.000703,               0.000703
                     33,                 2.6818,                 4.9559,                 2.1484,                0.59859,                0.06122,                  0.034,                0.01059,                 3.0796,                 7.3577,                 2.3453,              0.0006931,              0.0006931,              0.0006931
                     34,                 2.7741,                  4.928,                 2.1555,                0.55692,                0.05102,                0.03677,                0.01469,                 3.0921,                 6.9111,                 2.3796,              0.0006832,              0.0006832,              0.0006832
                     35,                 2.8961,                  4.823,                 2.1496,                0.57658,                0.02041,                0.04132,                0.01841,                 3.0192,                 6.9518,                 2.4323,              0.0006733,              0.0006733,              0.0006733
                     36,                 2.6553,                 4.3174,                 2.2446,                0.83051,                0.04082,                0.05765,                0.02912,                 3.3095,                 7.0587,                 2.7242,              0.0006634,              0.0006634,              0.0006634
