                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5828,                 4.3495,                 1.5167,                0.00427,                0.42188,                0.01309,                0.01063,                 1.0025,                 4.4331,                 1.0945,               9.09e-06,               9.09e-06,               9.09e-06
                      2,                  1.518,                 4.5496,                 1.4869,                0.00474,                0.45312,                 0.0242,                0.02171,                0.98591,                 4.3963,                 1.0782,                2.7e-05,                2.7e-05,                2.7e-05
                      3,                 1.2611,                 4.2513,                 1.3679,                0.00877,                 0.5625,                  0.083,                0.07631,                0.90694,                 4.3196,                 1.0121,              4.455e-05,              4.455e-05,              4.455e-05
                      4,                 1.2274,                 4.2601,                 1.2657,                 0.0157,                0.57812,                 0.1303,                0.11447,                0.85749,                 4.2169,                0.95486,              6.174e-05,              6.174e-05,              6.174e-05
                      5,                 1.3178,                  4.354,                 1.2275,                0.02464,                0.71875,                0.27942,                0.21707,                0.78901,                 4.1252,                0.89869,              7.857e-05,              7.857e-05,              7.857e-05
                      6,                 1.0337,                 3.8629,                 1.1147,                0.02905,                0.73438,                0.44244,                0.38516,                0.74842,                 4.0805,                0.86043,              9.504e-05,              9.504e-05,              9.504e-05
                      7,                 1.0847,                 3.8123,                 1.1607,                0.02437,                0.73438,                0.50542,                0.43405,                0.74778,                 4.0538,                0.85741,             0.00011115,             0.00011115,             0.00011115
                      8,                0.99354,                 3.4285,                 1.1327,                 0.0183,                0.73438,                0.48835,                0.41029,                0.71295,                 4.0384,                 0.8408,              0.0001269,              0.0001269,              0.0001269
                      9,                0.95352,                 3.1664,                 1.0758,                0.01657,                0.85938,                0.45247,                0.37573,                0.72818,                 4.0127,                0.84543,             0.00014229,             0.00014229,             0.00014229
                     10,                0.96642,                 2.9115,                 1.0595,                0.01488,                0.98438,                0.44727,                0.36701,                0.72095,                 3.9834,                0.84708,             0.00015732,             0.00015732,             0.00015732
                     11,                0.92637,                 2.6389,                 1.0587,                0.01311,                0.98438,                0.44055,                0.36557,                 0.7253,                 3.9293,                0.84916,             0.00017199,             0.00017199,             0.00017199
                     12,                0.88207,                 2.3385,                 1.0015,                0.01198,                0.98438,                  0.466,                0.38516,                0.71664,                 3.8536,                0.85888,              0.0001863,              0.0001863,              0.0001863
                     13,                0.95505,                 2.4448,                 1.1169,                0.01164,                      1,                0.48491,                0.39444,                0.73387,                  3.769,                0.87112,             0.00020025,             0.00020025,             0.00020025
                     14,                0.93021,                 2.4483,                 1.1016,                 0.0114,                      1,                0.51278,                0.42008,                0.72458,                 3.7297,                0.87948,             0.00021384,             0.00021384,             0.00021384
                     15,                0.98929,                 2.1389,                 1.0916,                0.01132,                      1,                0.52081,                0.43041,                0.74659,                 3.7117,                0.86239,             0.00022707,             0.00022707,             0.00022707
                     16,                 1.1486,                 2.1325,                 1.1703,                0.01144,                      1,                 0.5567,                0.47015,                0.75832,                 3.7259,                0.84556,             0.00023994,             0.00023994,             0.00023994
                     17,                 1.0946,                 2.2931,                 1.1253,                0.01207,                      1,                0.55157,                0.46773,                0.77351,                 3.7237,                0.84047,             0.00025245,             0.00025245,             0.00025245
                     18,                0.94526,                 2.3165,                 1.0161,                0.01247,                      1,                0.56495,                0.47618,                0.77218,                 3.7199,                0.83904,             0.00026461,             0.00026461,             0.00026461
                     19,                 1.0159,                 2.3742,                 1.0848,                0.01282,                      1,                0.59939,                0.49262,                0.76662,                 3.6939,                0.83672,              0.0002764,              0.0002764,              0.0002764
