                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.16906,                0.54384,                0.90206,                0.67262,                0.76866,                0.74237,                0.73454,                0.30514,                 1.2826,                0.42519,             0.00096634,             0.00096634,             0.00096634
                     37,                0.15452,                0.51988,                0.89315,                0.62943,                0.54759,                0.63638,                0.63587,                0.25883,                 1.8125,                0.30923,             0.00096535,             0.00096535,             0.00096535
                     38,                0.15646,                0.51107,                0.89662,                0.70615,                 0.4303,                0.55638,                 0.5386,                0.29889,                 2.1151,                0.42241,             0.00096436,             0.00096436,             0.00096436
                     39,                 0.1735,                0.55362,                0.90572,                0.53764,                0.64877,                0.70428,                0.69867,                0.28637,                  1.257,                0.38287,             0.00096337,             0.00096337,             0.00096337
                     40,                0.17272,                0.55151,                0.90653,                 0.7017,                0.61827,                0.62468,                0.62468,                0.26749,                 1.8973,                0.40001,             0.00096238,             0.00096238,             0.00096238
                     41,                0.17031,                0.52367,                0.90935,                0.69248,                0.57892,                0.63605,                0.63605,                0.23307,                 1.4022,                 0.3787,             0.00096139,             0.00096139,             0.00096139
                     42,                0.16577,                0.51841,                0.90592,                0.51945,                0.64495,                0.62775,                0.62762,                0.19644,                 1.6433,                0.31754,              0.0009604,              0.0009604,              0.0009604
                     43,                0.18153,                0.49344,                0.90684,                0.41971,                0.57808,                0.64103,                0.63701,                0.34047,                 1.9025,                0.46561,             0.00095941,             0.00095941,             0.00095941
                     44,                0.16296,                0.47124,                 0.9002,                0.84431,                0.70097,                0.75557,                0.75164,                0.31339,                 1.2676,                0.40748,             0.00095842,             0.00095842,             0.00095842
                     45,                0.15985,                0.47205,                0.89743,                0.48174,                0.77324,                0.71212,                0.71212,                0.18893,                 1.2119,                0.28494,             0.00095743,             0.00095743,             0.00095743
                     46,                0.15932,                0.48131,                 0.8942,                0.48022,                0.63182,                0.62599,                0.62599,                0.20038,                 1.3319,                0.31866,             0.00095644,             0.00095644,             0.00095644
                     47,                0.15239,                0.46572,                0.90907,                0.72857,                0.68554,                 0.7824,                0.76746,                0.23156,                 1.3039,                0.31462,             0.00095545,             0.00095545,             0.00095545
                     48,                0.15122,                0.47697,                0.88882,                0.82352,                0.56805,                0.70792,                0.70792,                0.24086,                 1.0958,                0.34792,             0.00095446,             0.00095446,             0.00095446
